Sequence,Word,Meaning
5252,reconfigure,vt. 重新配置
5253,impart,vt. 给予（尤指抽象事物），传授；告知，透露
5254,latitude,n. 纬度；界限；活动范围
5255,deed,n. 行动；证书；[法]契据
5256,culturally,adv. 从文化角度，文化意义上；在人文学方面
5257,filming,n. 摄影；拍摄；薄膜形成
5258,miserably,惨得很
5259,closure,n. 关闭；终止，结束
5260,half-century,半个世纪
5261,machinist,机械师
5262,liver,n. 肝脏；生活者，居民
5263,shaved,剃
5264,lying,adj. 说谎的
5265,institute,vt. 制定；创立；开始（调查）；提起（诉讼）
5266,eraser,n. 擦除器；清除器
5267,plotter,n. 阴谋者，策划者；绘图机
5268,irreplaceable,不可代替
5269,terminally,adv. 在末端；处于末期症状上；最后；致命地
5270,harbor,vt. 庇护；怀有
5271,coaching,n. 辅导；教练技术
5272,foolishly,愚蠢地
5273,frightening,adj. 令人恐惧的；引起突然惊恐的
5274,hated,讨厌
5275,reverend,adj. 教士的；可尊敬的
5276,ignorant,adj. 无知的；愚昧的
5277,nebula,n. [天]星云；[医]角膜云翳
5278,skiff,n. 小艇；小型帆船；轻舟
5279,whack,vt. 重打；猛击；击败；削减
5280,playing,n. 比赛；演奏
5281,cellular,adj. 细胞的；多孔的；由细胞组成的
5282,embassy,n. 大使馆；大使馆全体人员
5283,amateur,n. 爱好者；业余爱好者；外行
5284,competent,adj. 能干的；足够的；胜任的；有能力的
5285,linebacker,中后卫球员
5286,mosquito,n. 蚊子
5287,primitive,adj. 原始的，远古的；简单的，粗糙的
5288,reassemble,vi. 重新集合
5289,balcony,n. 阳台；包厢；戏院楼厅
5290,closing,adj. 结束的；结尾的；收盘的
5291,excellent,adj. 极好的；卓越的；杰出的
5292,brow,n. 眉，眉毛；表情；额
5293,ant,n. 蚂蚁
5294,para,n. 帕拉橡胶；帕拉（南斯拉夫辅币名）
5295,harmless,adj. 无害的；无恶意的
5296,recycled,回收
5297,worshiper,n. 崇拜者；礼拜者（等于worshipper）
5298,coincidence,n. 巧合；一致；同时发生
5299,reservation,n. 保留；预约，预订
5300,femininity,女性气质
5301,justified,adj. 有正当理由的；合乎情理的；事出有因的
5302,dependency,n. 从属；从属物；属国
5303,detach,vt. 分离；派遣；使超然
5304,repetitive,adj. 重复的
5305,nick,vt. 刻痕于；挑毛病；用刻痕记
5306,tulip,n. 郁金香
5307,divider,n. 分隔物；除法器；圆规
5308,re-emerge,再次出现
5309,revised,adj. 改进的
5310,bark,vt. 咆哮；吠叫；[口]咳嗽
5311,inexperience,n. 无经验；缺乏经验；不熟练
5312,terrifying,adj. 令人恐惧的；骇人的；极大的
5313,governor,n. 统治者，管理者；调节器；地方长官；主管人员
5314,sleepless,adj. 失眠的；不休息的；警觉的；永不停息的
5315,like-minded,志趣相投
5316,courtyard,n. 庭院，院子；天井
5317,fascinated,adj. 着迷的；被深深吸引的
5318,graphical,adj. 绘画的；生动的；图解的
5319,generic,adj. 一般的；属的；类的；非商标的
5320,stability,n. 稳定性；坚定，恒心
5321,cafe,n. 咖啡馆；小餐馆
5322,incident,n. 事件，事变；插曲
5323,failing,n. 缺点，过失；弱点；失败
5324,plentiful,adj. 丰富的；许多的；丰饶的
5325,propagate,vt. 传播；繁殖；传送；宣传
5326,undersea,adj. 海面下的；水下的
5327,formulation,n. 公式化；简洁陈述；构想，规划
5328,corrupt,adj. 腐败的，贪污的；堕落的
5329,castle,n. 城堡；象棋中的车
5330,technician,n. 技师，技术员；技巧纯熟的人
5331,parallel,n. 平行线；对比
5332,wand,n. 棒；权杖；魔杖；嫩枝；识别笔（等于wand reader）
5333,fulfill,vt. 履行；满足；实现；使结束（等于fulfil）
5334,mid,adj. 中间的；中央的
5335,thoroughfare,大道
5336,speck,n. 污点；小颗粒；灰尘
5337,obscure,adj. 模糊的；晦涩的；昏暗的
5338,spectacular,adj. 壮观的，惊人的；公开展示的
5339,thrilled,激动
5340,heroine,n. 女英雄；女杰
5341,monkey,n. 猴子；顽童
5342,outlying,adj. 边远的；无关的
5343,bout,n. 较量；发作；回合；一阵
5344,lard,vt. 润色，点缀；涂加猪油
5345,snip,n. 剪；便宜货
5346,reptile,adj. 爬虫类的；卑鄙的
5347,vascular,adj. 血管的
5348,matron,n. 主妇；保姆；妇女；女舍监
5349,printing,n. 印刷；印刷术
5350,spatially,空间
5351,seven,num. 七个，七
5352,bored,adj. 无聊的；烦人的；无趣的
5353,cone,n. 圆锥体，圆锥形；球果
5354,cleanup,n. 清除；暴利；清扫工作；[棒球]第四防守位置
5355,rupture,n. 破裂；决裂；疝气
5356,filtering,v. 过滤，滤除（filter的ing形式）
5357,locate,vt. 位于；查找…的地点
5358,armor,n. 装甲；盔甲
5359,stroller,n. 散步者；流浪者；（美）折叠式婴儿车；巡回演出的演员
5360,uh-oh,哦
5361,linger,vi. 徘徊；苟延残喘；磨蹭
5362,nix,n. [俚]皆无；[俚]无（等于nothing）；女水妖（出现在德国神话中）
5363,rebound,n. 回弹；篮板球
5364,transpire,vi. 发生；蒸发；泄露
5365,integrate,vt. 使…完整；使…成整体；求…的积分；表示…的总和
5366,respectively,adv. 分别地；各自地，独自地
5367,scab,n. 痂；疤；疥癣；[美俚]恶棍
5368,circulate,vi. 循环；流通；传播，流传
5369,forecast,vt. 预报，预测；预示
5370,eastern,adj. 东方的；朝东的；东洋的
5371,intrinsic,adj. 本质的，固有的
5372,classification,n. 分类；类别，等级
5373,breeding,n. 教养；繁殖；饲养；再生
5374,advisor,n. 顾问；劝告者；指导教师
5375,thud,n. 重击；砰的一声
5376,allied,adj. 同盟的；联合的；与…同属一系
5377,recreational,adj. 娱乐的，消遣的；休养的
5378,Jamaican,adj. 牙买加的；牙买加人的
5379,football,n. 足球，橄榄球
5380,absurd,adj. 荒谬的；可笑的
5381,pregnancy,n. 怀孕；丰富，多产；意义深长
5382,tempting,adj. 诱惑人的；吸引人的
5383,reset,vi. 清零；重置
5384,feast,vt. 款待，宴请；享受
5385,unfathomable,adj. 深不可测的；无底的；莫测高深的
5386,analogy,n. 类似；类推；类比
5387,conductor,n. 导体；售票员；领导者；管理人
5388,inhalation,n. 吸入；吸入药剂
5389,strapping,身材魁梧
5390,determining,v. 决定（determine的ing形式）
5391,loin,n. 腰；腰部；腰肉
5392,drainage,n. 排水；排水系统；污水；排水面积
5393,leakage,n. 泄漏；渗漏物；漏出量
5394,intensity,n. 强烈；强度；亮度；紧张
5395,mail-order,邮购
5396,regrettable,adj. 可惜的；可悲的；抱歉的；令人遗憾的
5397,toe,n. 脚趾；足尖
5398,arc,n. 弧（度）；弧形物；天穹；弧光（全称electric arc）
5399,swear,vt. 发誓；咒骂
5400,may,aux. 可能，可以；愿意
5401,soprano,n. [音]女高音；最高音部；女高音歌手
5402,head-on,正面
5403,upheaval,n. 剧变；隆起；举起
5404,manifest,vt. 证明，表明；显示
5405,erotic,adj. 色情的；性欲的；性爱的
5406,recrimination,n. 反责，反控；揭丑
5407,flush,n. 激动，洋溢；面红；萌芽；旺盛；奔流
5408,licensed,adj. 得到许可的（等于licenced）
5409,education,n. 教育；教育学；培养
5410,rum,adj. 古怪的；奇特的
5411,lick,vt. 舔；卷过；鞭打
5412,predominate,vt. 支配，主宰；在…中占优势
5413,unbalanced,adj. 不平衡的；错乱的；不稳定的；收支不平衡的，未决算的
5414,align,vt. 使结盟；使成一行；匹配
5415,courthouse,n. 法院；（美）县政府所在地
5416,mighty,adj. 有力的；有势力的；强有力的
5417,suffocate,vi. 窒息；受阻，受扼制
5418,idiotic,adj. 白痴的；愚蠢的
5419,subjectivity,n. 主观性，主观
5420,vampire,n. 吸血鬼；吸血蝙蝠
5421,defect,n. 缺点，缺陷；不足之处
5422,accountant,n. 会计师；会计人员
5423,fairway,n. 航路；水上飞机升降用的水面跑道；（高尔夫球场上的）平坦球道
5424,vulnerable,adj. 有弱点的；易受伤害的；易受攻击的，易受…的攻击
5425,additionally,adv. 此外；又，加之
5426,fines,n. 细骨料；粉末；罚款（fine的复数）
5427,slat,vt. 用板条做或装备；用条板制造
5428,petition,n. 请愿；祈求；请愿书；[律]诉状
5429,dingy,adj. 昏暗的；肮脏的
5430,advertisement,n. 广告，宣传
5431,correspondence,n. 一致；相当；通信
5432,station,n. 站；地位；身分；驻地
5433,artery,n. 动脉；干道；主流
5434,overarching,包罗万象
5435,curator,n. 馆长；监护人；管理者
5436,baseline,n. 基线；[体]底线
5437,coefficient,n. 协同因素；[数]系数；[物]率
5438,correction,n. 改正，修正
5439,growing,adj. 成长的；发展的
5440,nonstick,不粘锅的
5441,gumbo,秋葵
5442,they,pron. 他们；她们；它们
5443,dribble,vt. 连击；使滴下；运球；vi. 滴下；流口水；n. n. 点滴；运球
5444,audio,adj. 声音的；音频的，声频的
5445,qualifier,n. 限定词，限定语；取得资格的人；修饰语
5446,cosmic,adj. 宇宙的（等于cosmical）
5447,pony,n. 小型马；矮种马
5448,sand,n. 沙；沙子；沙滩；沙地；沙洲
5449,complicate,vt. 使恶化；使复杂化；使卷入
5450,dense,adj. 浓厚的；稠密的；愚钝的
5451,beating,n. 打；[化]打浆；敲打；失败
5452,preparedness,准备
5453,lounge,n. 休息室；闲逛；躺椅；（英）酒吧间
5454,stoop,vi. 弯腰；堕落；屈服
5455,red,n. 红色，红颜料；赤字
5456,credible,adj. 可靠的，可信的
5457,simmering,酝酿
5458,tundra,n. 苔原；冻原；冻土地带
5459,revisionist,n. 修正主义者
5460,horizontally,水平
5461,maturation,n. 成熟；[医]化脓；[生]生殖细胞之形成
5462,daylight,n. 日光；白天；黎明；公开
5463,warranty,n. 担保；保证；授权；（正当）理由
5464,exceptionally,adv. 特殊地；异常地；例外地
5465,saturation,n. 饱和；浸透；色饱和度；磁化饱和
5466,embedded,adj. 植入的；内含的；嵌入式的
5467,staffing,n. 安置职工
5468,wash,n. 洗涤；洗的衣服；冲积物；化妆水
5469,bundle,n. 捆；束
5470,memorandum,n. 备忘录；便笺
5471,liner,n. 班轮，班机；衬垫；画线者
5472,robe,n. 长袍，礼服；制服
5473,footwear,n. 鞋类
5474,prostitution,n. 卖淫；滥用；出卖灵魂
5475,battlefield,n. 战场；沙场
5476,nicety,n. 美好；精密；细节；拘泥细节
5477,shockingly,adv. 怕人地，非常地；不正当地
5478,recording,n. 录音；唱片
5479,clove,n. 丁香
5480,loot,n. 掠夺品；战利品；抢劫
5481,intangible,adj. 无形的，触摸不到的；难以理解的
5482,predilection,n. 偏爱，嗜好
5483,elevated,adj. 提高的；高尚的；严肃的；欢欣的
5484,forceful,adj. 有说服力的；强有力的；坚强的
5485,chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
5486,frivolous,adj. 轻佻的；琐碎的；无聊的
5487,reduction,n. 减少；下降；缩小
5488,lenient,adj. 仁慈的；宽大的
5489,logger,n. 记录器；（美）樵夫，伐木工
5490,hedge,vt. 用树篱笆围住；避免作正面答复
5491,academic,adj. 学院的；学术的；理论的
5492,taunt,n. 嘲弄；讥讽
5493,shopping,n. 购物，买东西
5494,telegram,n. 电报
5495,coral,n. 珊瑚；珊瑚虫
5496,heave,vt. 举起；使起伏；[口]投掷；恶心；发出（叹息等）
5497,appliance,n. 器具；器械；装置
5498,census,vt. 实施统计调查
5499,maiden,adj. 未婚的，处女的；初次的
5500,murmur,n. 低语；低语声；低声抱怨；潺潺声
5501,circus,n. 马戏团；马戏
5502,rationality,n. 合理性；合理的行动
5503,gauge,n. 计量器；标准尺寸；容量规格
5504,detailed,adj. 详细的，精细的；复杂的，详尽的
5505,corps,n. 军团；兵队；兵种；（德国大学的）学生联合会
5506,ink,vt. 涂墨水于；签署
5507,inhabitant,n. 居民；居住者
5508,quotation,n. 引用语；引证；报价单
5509,life,n. 寿命；生活，生存
5510,excerpt,n. 摘录，引用
5511,excessive,adj. 过分的；过多的，极度的
5512,strident,adj. 刺耳的；尖锐的；吱吱尖叫的；轧轧作响的
5513,soybean,n. 大豆；黄豆
5514,sow,vt. 播种；散布；使密布
5515,dubious,adj. 可疑的；暧昧的；半信半疑的；无把握的
5516,motorist,n. 驾车旅行的人，开汽车的人
5517,copyright,n. 版权，著作权
5518,miniature,adj. 微型的，小规模的
5519,coordination,n. 对等，同等；协调，调和
5520,insurgency,叛乱
5521,unbelievably,令人难以自信
5522,ripen,vt. 使成熟
5523,amazed,adj. 惊奇的，吃惊的
5524,slope,n. 倾斜；斜率；斜坡；扛枪姿势
5525,oversize,超大尺寸
5526,reunite,vt. 使再结合；使再联合；使重聚
5527,largely,adv. 主要地；大量地；大部分
5528,accord,n. 一致；符合；协议；自愿
5529,jeweler,n. 宝石匠；珠宝商；钟表匠；钟表商
5530,sneak,vi. 鬼鬼祟祟做事；溜；[英俚]向老师打小报告
5531,waitress,n. 女服务员；女侍者
5532,femur,n. 股骨；大腿骨
5533,perch,n. 杆；栖木；高位
5534,outreach,vt. 超越，伸出；超出…的范围
5535,vigil,n. 守夜；监视；不眠；警戒
5536,all-star,adj. 全明星的
5537,albeit,conj. 即使；虽然
5538,feedback,n. 反馈；回复；成果，资料
5539,adequately,adv. 充分地；适当地；足够地
5540,shrink,vi. 收缩；畏缩
5541,indoctrination,教化
5542,misfit,n. 不适合；不适应环境的人
5543,mold,vt. 用模子制作；塑造；使发霉
5544,avenue,n. 林荫大道；大街
5545,addict,n. 有瘾的人；入迷的人
5546,marginalization,边缘化
5547,rampage,n. 暴跳；乱闹；暴怒
5548,berry,n. 浆果（葡萄，番茄等）
5549,mug,n. 脸；杯子；苦读者
5550,muster,vt. 召集；对…进行点名；使振作
5551,cleaning,n. 清洗；大败；清除；去污
5552,controller,n. 控制器；管理员；主计长
5553,nickname,n. 绰号；昵称
5554,villain,n. 坏人，恶棍；戏剧、小说中的反派角色；[口]顽童；[英口]罪犯
5555,wheat,n. 小麦；小麦色
5556,relaxing,adj. 令人轻松的
5557,locale,n. 场所，现场
5558,gravel,n. 砂砾；碎石
5559,hail,n. 冰雹；致敬；招呼；一阵
5560,garner,vt. 储存；获得；把…储入谷仓
5561,waterfall,n. 瀑布；瀑布似的东西
5562,sect,n. 宗派
5563,indoors,adv. 在室内，在户内
5564,fertilization,n. [生]受精；施肥；肥沃
5565,notion,n. 概念；见解；打算
5566,caregiver,照顾者
5567,activate,vt. 刺激；使活泼；使活动；使产生放射性
5568,exertion,n. 努力；发挥；运用
5569,naivete,n. 天真；质朴；纯真无邪；天真烂漫
5570,trusting,adj. 信任的；轻信的
5571,kindle,vt. 点燃；照亮；激起
5572,cereal,n. 谷类食品；谷类，谷物；谷类植物
5573,Arctic,adj. 北极的；极寒的
5574,huge,adj. 巨大的；庞大的；无限的
5575,certification,n. 证明，保证；检定
5576,quintessential,典型的
5577,sensibly,adv. 容易感知地；聪明地；明显地
5578,turntable,转盘
5579,python,n. 大蟒；巨蟒；丹舌
5580,traction,n. 牵引；牵引力
5581,mow,n. 草堆；皱眉；谷堆
5582,bachelor,n. 单身汉；学士；（尚未交配的）小雄兽
5583,humbling,adj. 令人羞辱的
5584,operationalize,实施
5585,convincing,adj. 令人信服的；有说服力的
5586,descending,adj. 下行的；下降的
5587,prove,vt. 证明；检验；显示
5588,scarlet,adj. 罪孽深重的；淫荡的；鲜红色的；深红的
5589,lump,n. 块，块状；肿块；瘤；很多；笨人
5590,decoration,n. 装饰，装潢；装饰品；奖章
5591,mammalian,adj. 哺乳类动物的
5592,pun,vi. 说双关语；说俏皮话
5593,configuration,n. 配置；结构；外形
5594,sanction,n. 制裁，处罚；认可；支持
5595,clash,n. 冲突，不协调；碰撞声，铿锵声
5596,newsman,n. 新闻记者；送报者
5597,imitation,n. 模仿，仿造；仿制品
5598,multipurpose,多用途
5599,upwards,adv. 向上；在上部；向上游
5600,yard,n. 码（英制中丈量长度单位，1码=3英尺）；[海]帆桁；院子；庭院
5601,cough,n. 咳嗽，咳嗽声；咳嗽病
5602,notoriously,adv. 恶名昭彰地；声名狼藉地；众所周知地
5603,stereotype,vt. 使用铅版；套用老套，使一成不变
5604,velvety,柔软的
5605,letter,n. 字母，文字；信；字面意义；证书；文学，学问
5606,entangle,vt. 使纠缠；卷入；使混乱
5607,roller-coaster,过山车
5608,Olympian,adj. 威严的；奥林匹克竞赛的；奥林匹斯山的
5609,compost,n. 堆肥；混合物
5610,toasted,烤
5611,endeavor,n. 努力；尽力（等于endeavour）
5612,credential,n. 凭据；国书；证书
5613,broadly,adv. 宽广地；露骨地；概括地；明显地；粗鄙地
5614,fixate,vi. 注视；固定下来
5615,smoothness,n. 平滑；柔滑；平坦
5616,swirling,n. 漩涡；涡流
5617,distraught,adj. 发狂的；心烦意乱的
5618,hamburger,n. 汉堡包，汉堡；牛肉饼，肉饼；碎牛肉
5619,basin,n. 盆地；盆；水池；流域
5620,fling,vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
5621,livid,adj. 铅色的；青灰色的；非常生气的
5622,focal,adj. 焦点的，在焦点上的；[医]灶的，病灶的
5623,heroin,n. 海洛因，吗啡
5624,asteroid,n. [天文]小行星；海盘车；小游星
5625,heiress,女继承人
5626,tombstone,n. 墓碑；墓石
5627,offshoot,分支
5628,bald,adj. 秃顶的；单调的；光秃的；无装饰的
5629,abandoned,被遗弃的
5630,anticipation,n. 希望；预感；先发制人；预支
5631,strain,n. 张力；拉紧；血缘；负担；扭伤
5632,insurer,n. 承保人；保险公司
5633,vile,adj. 卑鄙的；低廉的；肮脏的；邪恶的
5634,interface,n. 接口；界面；接触面
5635,bookstore,n. 书店（等于bookshop）
5636,poplar,n. [植]白杨木；[植]白杨
5637,crisp,adj. 脆的；易碎的；新鲜的
5638,encouraging,adj. 鼓励的，奖励的；令人鼓舞的
5639,protocol,n. 协议；草案；礼仪
5640,honey,n. 蜂蜜；甜蜜；宝贝
5641,saut,跳跃
5642,sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
5643,glory,n. 光荣，荣誉；赞颂
5644,frustration,n. 挫折
5645,overuse,n. 过度使用
5646,compact,n. 合同，契约；小粉盒
5647,deprived,被剥夺的
5648,fearless,adj. 无畏的；大胆的
5649,selectively,adv. 有选择地
5650,transcription,n. 抄写；抄本；誊写
5651,meditative,adj. 冥想的，沉思的；耽于默想的
5652,shock,n. 打击；震动；震惊；休克；禾束堆
5653,donate,vt. 捐赠；捐献
5654,flourish,n. 兴旺；茂盛；挥舞；炫耀；华饰
5655,mainline,n. 静脉注射；主线
5656,standstill,停滞不前
5657,beautifully,adv. 漂亮地；美好地
5658,tuition,n. 学费；讲授
5659,empowering,授权
5660,solidify,vt. 团结；凝固
5661,turnip,n. 芜菁甘蓝，大头菜；萝卜
5662,detective,adj. 侦探的
5663,ocean,n. 海洋；广阔；[口]大量
5664,sadistic,adj. 残酷成性的；虐待狂的
5665,artwork,n. 艺术品；美术品；插图
5666,partisan,adj. 偏袒的；党派的；盲目推崇的；效忠的
5667,prong,vt. 刺；贯穿；翻掘
5668,lastly,adv. 最后，终于
5669,hospice,n. 旅客招待所；收容所；救济院
5670,liberator,n. 释放者；解放者
5671,abundant,adj. 充裕的；丰富的；盛产
5672,confusing,adj. 令人困惑的；混淆的；混乱的
5673,renounce,vt. 宣布放弃；与…断绝关系；垫牌
5674,hammer,vi. 敲打；锤击；重复
5675,aggressively,adv. 侵略地；攻击地；有闯劲地
5676,formula,n. 公式，准则；配方；婴儿食品
5677,burial,n. 埋葬；葬礼；弃绝
5678,unwillingness,n. 不情愿；不愿意
5679,packing,n. 包装；填充物
5680,exclusionary,派他的
5681,mobster,n. [美俚]匪徒；暴徒
5682,vigorously,adv. 精神旺盛地，活泼地
5683,LCD,abbr. 液晶显示屏（liquid crystal display）
5684,password,n. 密码；口令
5685,maritime,adj. 海的；海事的；沿海的；海员的
5686,fondle,vt. 抚弄；爱抚
5687,photography,n. 摄影术；摄影
5688,questioner,n. 质问者；发问者
5689,poise,n. 姿势；平衡；镇静
5690,homemaker,n. 主妇
5691,drape,vt. 用布帘覆盖；使呈褶裥状
5692,surprise,n. 惊奇，诧异；突然袭击
5693,archaeologist,n. 考古学家
5694,surveillance,监测
5695,viciously,adv. 邪恶地；敌意地
5696,wedlock,n. 婚姻；已婚状况
5697,ear,n. 耳朵；听觉；倾听；穗
5698,victorious,adj. 胜利的；凯旋的
5699,disturbed,adj. 扰乱的；为心理失常者而设的
5700,sane,adj. 神志正常的；健全的；理智的
5701,evangelist,n. 福音传道者；圣经新约福音书的作者
5702,coffin,n. 棺材
5703,tension,n. 张力，拉力；紧张，不安；电压
5704,service,n. 服务，服侍；服役；仪式
5705,sponge,vt. 抹掉；用海绵擦拭；讨得
5706,fashionable,adj. 流行的；时髦的；上流社会的
5707,leisurely,adj. 从容的；悠闲的
5708,Emmy,n. 艾美奖（美国电视最高荣誉奖）
5709,pharmaceutical,adj. 制药（学）的
5710,protracted,adj. 拖延的
5711,unveil,vt. 揭幕；使公诸于众，揭开
5712,lending,n. 出借；出借物
5713,acquaintance,n. 熟人；了解；知道；相识
5714,vegetative,adj. 促使植物生长的；有生长力的；植物人状态的，无所作为的；植物的
5715,comparative,adj. 相当的；比较的
5716,anthropologist,n. 人类学家；人类学者
5717,magnetic,adj. 有吸引力的；有磁性的；地磁的
5718,seasoned,adj. 经验丰富的；老练的；调过味的
5719,contempt,n. 轻视，蔑视；耻辱
5720,bastard,adj. 私生的
5721,mogul,n. 有权势的人；显要人物
5722,dominant,adj. 支配的，统治的；占优势的；显性的
5723,desk,n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
5724,ample,adj. 丰富的；足够的；宽敞的
5725,zoom,n. 嗡嗡声；急速上升；变焦摄影
5726,theorize,vi. 建立理论或学说；推理
5727,disadvantaged,弱势群体
5728,efficiency,n. 效率；功效；效能
5729,striped,adj. 有条纹的；有斑纹的
5730,forensic,adj. 辩论的；法院的；适于法庭的
5731,exclamation,n. 惊叫；感叹；惊叹词
5732,teeming,adj. 多产的，丰富的；热闹的
5733,crossing,n. 杂交；十字路口；横渡；横道
5734,dentistry,n. 牙科学；牙医业
5735,denial,n. 否认；拒绝；节制；背弃
5736,adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
5737,reportedly,adv. 据传闻；据报道
5738,scholarship,n. 学识，学问；奖学金
5739,conditioning,n. 调节；整修；条件作用
5740,improvisation,n. 即兴创作；即席演奏
5741,sorry,adj. 对不起的，抱歉的；遗憾的
5742,whisker,n. 胡须；腮须；晶须
5743,pasture,n. 牧场；牧草；草地
5744,provision,n. 供应品；准备；条款；规定
5745,exaggerated,adj. 夸张的，言过其实的
5746,ozone,n. 臭氧；新鲜的空气
5747,decisive,adj. 决定性的；果断的，坚定的
5748,arch,n. 拱门；弓形，拱形
5749,saturate,vt. 使饱和，使充满；浸透，使湿透
5750,vital,adj. 生死攸关的；至关重要的；有活力的
5751,seventeenth,第十七
5752,vole,n. 大满贯；野鼠
5753,deserted,adj. 荒芜的；被遗弃的
5754,gregarious,adj. 群居的；社交的
5755,jealousy,n. 嫉妒；猜忌；戒备
5756,chuckle,vi. 咯咯的笑，轻声地笑
5757,molecule,n. 分子；微小颗粒，微粒
5758,swan,n. 天鹅；天鹅星座
5759,rebellious,adj. 反抗的；造反的；难控制的
5760,standby,n. 备用品；可信赖的人
5761,dash,n. 破折号；冲撞
5762,constituency,n. （一批）顾客；（选区的）选民；支持者
5763,communist,n. 共产主义者；共产党员
5764,stellar,adj. 星的；星球的；主要的
5765,awesome,adj. 可怕的，引起敬畏的
5766,lesbian,adj. 女同性恋的
5767,bait,vt. 引诱；在…中放诱饵；折磨
5768,sorely,adv. 疼痛地；剧烈地；非常
5769,maple,n. 枫树；淡棕色
5770,deliberate,adj. 故意的；从容的；深思熟虑的
5771,embark,vi. 上船或飞机；从事，着手
5772,novella,中篇小说
5773,reek,vi. 冒烟；散发；放出臭气
5774,fictitious,adj. 虚构的；假想的；假装的；编造的
5775,use,n. 使用；用途；发挥
5776,registrar,n. 注册主任；登记员；专科住院医师
5777,erect,vt. 使竖立；建造；安装
5778,oatmeal,n. 燕麦粥；燕麦片
5779,effigy,n. 雕像，肖像
5780,deficiency,n. 缺乏；不足的数额；缺陷，缺点
5781,nerd,n. 讨厌的人；呆子
5782,glare,n. 刺眼；耀眼的光；受公众注目
5783,implant,vt. 灌输；种植；嵌入
5784,dietitian,营养师
5785,blur,vt. 涂污；使…模糊不清；使暗淡；玷污
5786,middle-class,中产阶级
5787,fervent,adj. 强烈的；炽热的；热烈的；热心的
5788,faith,n. 信任；信念；信仰；忠实
5789,vinyl,n. [化]乙烯基
5790,freight,vt. 运送；装货；使充满
5791,altitude,n. 高度；高地；[数]顶垂线；（等级和地位等的）高级
5792,subscribe,vi. 订阅；赞成；捐款；认购；签署
5793,protection,n. 保护；防卫；护照
5794,squirm,vi. 蠕动，扭动
5795,five-year-old,五岁
5796,urgent,adj. 紧急的；急迫的
5797,download,vt. 下栽
5798,rectangle,n. 矩形；长方形
5799,odds,n. 不平等；几率；胜算；差别
5800,flashy,adj. 闪光的；瞬间的；俗丽的；暴躁的
5801,differentiation,n. 区别；变异，分化
5802,racist,n. 种族主义者
5803,variegated,adj. 斑驳的；杂色的；富于变化的
5804,hammock,n. 吊床；吊铺；吊带
5805,collaborate,vi. 合作；勾结，通敌
5806,successive,adj. 连续的；继承的；依次的；接替的
5807,tried,adj. 可靠的；试验过的
5808,follower,n. 追随者；属下；信徒
5809,waive,vt. 放弃；搁置
5810,remodel,vt. 改变；改造；改型
5811,cement,vt. 巩固，加强；用水泥涂；接合
5812,elliptical,adj. 椭圆的；省略的
5813,moratorium,n. 延期偿付；暂停，中止
5814,reckless,adj. 鲁莽的，不顾后果的；粗心大意的
5815,unemployment,n. 失业；失业人数；失业率
5816,communal,adj. 公共的；公社的
5817,Brazilian,adj. 巴西的；巴西人的
5818,guild,n. 协会，行会；同业公会
5819,cuisine,n. 烹饪，烹调法
5820,hinterland,内陆地区
5821,intergenerational,几代人的
5822,situation,n. 位置；形势；情况；处境
5823,thinking,adj. 思想的；有理性的；思考的；好思考的
5824,expanse,n. 广阔的区域；宽阔；苍天；膨胀扩张
5825,mausoleum,陵墓
5826,bacon,n. 熏猪肉；咸肉；腌肉
5827,spoiled,adj. 被宠坏的
5828,wrestler,n. 摔跤选手，搏斗者
5829,devastated,摧毁了
5830,underfoot,在脚下
5831,navigation,n. 航海；航行
5832,clause,n. 条款；子句
5833,maturity,n. 成熟；到期；完备
5834,committed,adj. 坚定的；效忠的；承担义务的
5835,fitness,n. 健康；适当；适合性
5836,collaborative,adj. 合作的，协作的
5837,bulletin,n. 公告，公报
5838,darling,n. 心爱的人；亲爱的
5839,economic,adj. 经济的，经济上的；经济学的
5840,deport,vt. 举止；放逐；驱逐出境
5841,phonological,语音
5842,terrain,n. 地形，地势；地带；领域
5843,Norwegian,adj. 挪威的；挪威语的；挪威人的
5844,resentful,adj. 充满忿恨的；厌恶的
5845,blossom,vi. 开花；兴旺；发展成
5846,temperament,气质
5847,continuity,n. 连续性；一连串；分镜头剧本
5848,grasshopper,n. 蚱蜢；蝗虫；小型侦察机
5849,genus,n. 类，种；属
5850,accessory,n. 附件；配件；从犯
5851,pew,n. 座位；会众；教堂内的靠背长凳
5852,oversee,vt. 监督；俯瞰；审查；偷看到，无意中看到
5853,obsession,n. 困扰；强迫观念；痴迷
5854,smirk,n. 傻笑；假笑；得意的笑
5855,indirectly,adv. 间接地；不诚实；迂回地
5856,spaceship,n. ［航］宇宙飞船
5857,yacht,vi. 乘游艇，驾游艇
5858,bureaucratic,adj. 官僚政治的；官僚的
5859,long-term,adj. 长期的
5860,generosity,n. 慷慨，大方；宽宏大量
5861,globally,adv. 全球的；世界上；全局地
5862,marble,n. 大理石；大理石制品；弹珠
5863,massacre,vt. 残杀；彻底击败
